,checkpoint,dataset,method,n_shot,accuracy
11,flan-t5-xl,logical_deduction_five_objects,channel,0,0.18
19,flan-t5-xl,logical_deduction_five_objects,channel,0,0.21
27,flan-t5-xl,logical_deduction_five_objects,channel,0,0.22
35,flan-t5-xl,logical_deduction_five_objects,channel,0,0.17
100,flan-t5-xl,logical_deduction_three_objects,channel,0,0.35
102,flan-t5-xl,logical_deduction_seven_objects,channel,0,0.15
103,flan-t5-xl,logical_deduction_three_objects,channel,0,0.45
105,flan-t5-xl,logical_deduction_seven_objects,channel,0,0.17
106,flan-t5-xl,logical_deduction_three_objects,channel,0,0.4
108,flan-t5-xl,logical_deduction_seven_objects,channel,0,0.19
109,flan-t5-xl,logical_deduction_three_objects,channel,0,0.42
111,flan-t5-xl,logical_deduction_seven_objects,channel,0,0.2
112,flan-t5-xl,logical_deduction_three_objects,channel,0,0.38
114,flan-t5-xl,logical_deduction_seven_objects,channel,0,0.2
3,flan-t5-xl,logical_deduction_five_objects,calibration,0,0.39
11,flan-t5-xl,logical_deduction_five_objects,calibration,0,0.44
19,flan-t5-xl,logical_deduction_five_objects,calibration,0,0.4
27,flan-t5-xl,logical_deduction_five_objects,calibration,0,0.33
35,flan-t5-xl,logical_deduction_five_objects,calibration,0,0.4
100,flan-t5-xl,logical_deduction_three_objects,calibration,0,0.45
102,flan-t5-xl,logical_deduction_seven_objects,calibration,0,0.4
103,flan-t5-xl,logical_deduction_three_objects,calibration,0,0.48
105,flan-t5-xl,logical_deduction_seven_objects,calibration,0,0.4
106,flan-t5-xl,logical_deduction_three_objects,calibration,0,0.43
108,flan-t5-xl,logical_deduction_seven_objects,calibration,0,0.45
109,flan-t5-xl,logical_deduction_three_objects,calibration,0,0.48
111,flan-t5-xl,logical_deduction_seven_objects,calibration,0,0.31
112,flan-t5-xl,logical_deduction_three_objects,calibration,0,0.41
114,flan-t5-xl,logical_deduction_seven_objects,calibration,0,0.38
