model_family,checkpoint,loading_precision,dataset,batch_size,method,scoring_method,prompting_method,mask_strategy,seed,n_shot,sample,mask_accuracy,accuracy
gpt-3.5-turbo-0613,flan-t5-xl,,cqa,16,multiple_choice_prompt,,,,4,0,100,,0.7400
gpt-3.5-turbo-0613,flan-t5-xl,,cqa,16,process_of_elimination(mcp),,,,4,0,100,,0.7600
gpt-3.5-turbo-0613,flan-t5-xl,,siqa,16,multiple_choice_prompt,,,,4,0,100,,0.6900
gpt-3.5-turbo-0613,flan-t5-xl,,siqa,16,process_of_elimination(mcp),,,,4,0,100,,0.7100
gpt-3.5-turbo-0613,flan-t5-xl,,logical_deduction_five_objects,16,multiple_choice_prompt,,,,4,0,100,,0.4600
gpt-3.5-turbo-0613,flan-t5-xl,,logical_deduction_five_objects,16,process_of_elimination(mcp),,,,4,0,100,,0.4400
gpt-3.5-turbo-0613,flan-t5-xl,,conceptual_combinations,16,multiple_choice_prompt,,,,4,0,100,,0.7900
gpt-3.5-turbo-0613,flan-t5-xl,,conceptual_combinations,16,process_of_elimination(mcp),,,,4,0,100,,0.6700
gpt-3.5-turbo-0613,flan-t5-xl,,strange_stories,16,multiple_choice_prompt,,,,4,0,100,,0.7900
gpt-3.5-turbo-0613,flan-t5-xl,,strange_stories,16,process_of_elimination(mcp),,,,4,0,100,,0.8200
gpt-3.5-turbo-0613,flan-t5-xl,,symbol_interpretation,16,multiple_choice_prompt,,,,4,0,100,,0.0300
gpt-3.5-turbo-0613,flan-t5-xl,,symbol_interpretation,16,process_of_elimination(mcp),,,,4,0,100,,0.2000
gpt-3.5-turbo-0613,flan-t5-xl,,anli,16,multiple_choice_prompt,,,,0,0,100,,0.4300
gpt-3.5-turbo-0613,flan-t5-xl,,anli,16,process_of_elimination(mcp),,,,0,0,100,,0.4500
gpt-3.5-turbo-0613,flan-t5-xl,,disambiguation_qa,16,multiple_choice_prompt,,,,0,0,100,,0.5200
gpt-3.5-turbo-0613,flan-t5-xl,,disambiguation_qa,16,process_of_elimination(mcp),,,,0,0,100,,0.4300
gpt-3.5-turbo-0613,flan-t5-xl,,anli,16,multiple_choice_prompt,,,,1,0,100,,0.3900
gpt-3.5-turbo-0613,flan-t5-xl,,anli,16,process_of_elimination(mcp),,,,1,0,100,,0.5200
gpt-3.5-turbo-0613,flan-t5-xl,,disambiguation_qa,16,multiple_choice_prompt,,,,1,0,100,,0.5600
gpt-3.5-turbo-0613,flan-t5-xl,,disambiguation_qa,16,process_of_elimination(mcp),,,,1,0,100,,0.4600
gpt-3.5-turbo-0613,flan-t5-xl,,anli,16,multiple_choice_prompt,,,,2,0,100,,0.4400
gpt-3.5-turbo-0613,flan-t5-xl,,anli,16,process_of_elimination(mcp),,,,2,0,100,,0.4700
gpt-3.5-turbo-0613,flan-t5-xl,,disambiguation_qa,16,multiple_choice_prompt,,,,2,0,100,,0.4700
gpt-3.5-turbo-0613,flan-t5-xl,,disambiguation_qa,16,process_of_elimination(mcp),,,,2,0,100,,0.4600
gpt-3.5-turbo-0613,flan-t5-xl,,anli,16,multiple_choice_prompt,,,,3,0,100,,0.3400
gpt-3.5-turbo-0613,flan-t5-xl,,anli,16,process_of_elimination(mcp),,,,3,0,100,,0.4200
gpt-3.5-turbo-0613,flan-t5-xl,,disambiguation_qa,16,multiple_choice_prompt,,,,3,0,100,,0.4300
gpt-3.5-turbo-0613,flan-t5-xl,,disambiguation_qa,16,process_of_elimination(mcp),,,,3,0,100,,0.3800
gpt-3.5-turbo-0613,flan-t5-xl,,anli,16,multiple_choice_prompt,,,,4,0,100,,0.4100
gpt-3.5-turbo-0613,flan-t5-xl,,anli,16,process_of_elimination(mcp),,,,4,0,100,,0.3700
gpt-3.5-turbo-0613,flan-t5-xl,,disambiguation_qa,16,multiple_choice_prompt,,,,4,0,100,,0.4600
gpt-3.5-turbo-0613,flan-t5-xl,,disambiguation_qa,16,process_of_elimination(mcp),,,,4,0,100,,0.4000
gpt-3.5-turbo-0613,flan-t5-xl,,cqa,16,multiple_choice_prompt,,,,0,3,100,,0.7700
gpt-3.5-turbo-0613,flan-t5-xl,,cqa,16,process_of_elimination(mcp),,,,0,3,100,,0.7300
gpt-3.5-turbo-0613,flan-t5-xl,,siqa,16,multiple_choice_prompt,,,,0,3,100,,0.7500
gpt-3.5-turbo-0613,flan-t5-xl,,siqa,16,process_of_elimination(mcp),,,,0,3,100,,0.6400
gpt-3.5-turbo-0613,flan-t5-xl,,logical_deduction_five_objects,16,multiple_choice_prompt,,,,0,3,100,,0.4000
gpt-3.5-turbo-0613,flan-t5-xl,,logical_deduction_five_objects,16,process_of_elimination(mcp),,,,0,3,100,,0.2600
gpt-3.5-turbo-0613,flan-t5-xl,,conceptual_combinations,16,multiple_choice_prompt,,,,0,3,100,,0.8600
gpt-3.5-turbo-0613,flan-t5-xl,,conceptual_combinations,16,process_of_elimination(mcp),,,,0,3,100,,0.7800
gpt-3.5-turbo-0613,flan-t5-xl,,strange_stories,16,multiple_choice_prompt,,,,0,3,100,,0.8700
gpt-3.5-turbo-0613,flan-t5-xl,,strange_stories,16,process_of_elimination(mcp),,,,0,3,100,,0.7900
gpt-3.5-turbo-0613,flan-t5-xl,,symbol_interpretation,16,multiple_choice_prompt,,,,0,3,100,,0.1200
gpt-3.5-turbo-0613,flan-t5-xl,,symbol_interpretation,16,process_of_elimination(mcp),,,,0,3,100,,0.1100
gpt-3.5-turbo-0613,flan-t5-xl,,anli,16,multiple_choice_prompt,,,,0,3,100,,0.3800
gpt-3.5-turbo-0613,flan-t5-xl,,anli,16,process_of_elimination(mcp),,,,0,3,100,,0.4100
gpt-3.5-turbo-0613,flan-t5-xl,,disambiguation_qa,16,multiple_choice_prompt,,,,0,3,100,,0.6100
gpt-3.5-turbo-0613,flan-t5-xl,,disambiguation_qa,16,process_of_elimination(mcp),,,,0,3,100,,0.3900
gpt-3.5-turbo-0613,flan-t5-xl,,cqa,16,multiple_choice_prompt,,,,1,3,100,,0.8000
gpt-3.5-turbo-0613,flan-t5-xl,,cqa,16,process_of_elimination(mcp),,,,1,3,100,,0.7500
gpt-3.5-turbo-0613,flan-t5-xl,,siqa,16,multiple_choice_prompt,,,,1,3,100,,0.6900
gpt-3.5-turbo-0613,flan-t5-xl,,siqa,16,process_of_elimination(mcp),,,,1,3,100,,0.6400
gpt-3.5-turbo-0613,flan-t5-xl,,logical_deduction_five_objects,16,multiple_choice_prompt,,,,1,3,100,,0.5400
gpt-3.5-turbo-0613,flan-t5-xl,,logical_deduction_five_objects,16,process_of_elimination(mcp),,,,1,3,100,,0.3700
gpt-3.5-turbo-0613,flan-t5-xl,,conceptual_combinations,16,multiple_choice_prompt,,,,1,3,100,,0.8200
gpt-3.5-turbo-0613,flan-t5-xl,,conceptual_combinations,16,process_of_elimination(mcp),,,,1,3,100,,0.7600
gpt-3.5-turbo-0613,flan-t5-xl,,strange_stories,16,multiple_choice_prompt,,,,1,3,100,,0.8500
gpt-3.5-turbo-0613,flan-t5-xl,,strange_stories,16,process_of_elimination(mcp),,,,1,3,100,,0.7400
gpt-3.5-turbo-0613,flan-t5-xl,,symbol_interpretation,16,multiple_choice_prompt,,,,1,3,100,,0.1300
gpt-3.5-turbo-0613,flan-t5-xl,,symbol_interpretation,16,process_of_elimination(mcp),,,,1,3,100,,0.1000
gpt-3.5-turbo-0613,flan-t5-xl,,anli,16,multiple_choice_prompt,,,,1,3,100,,0.4500
gpt-3.5-turbo-0613,flan-t5-xl,,anli,16,process_of_elimination(mcp),,,,1,3,100,,0.4400
gpt-3.5-turbo-0613,flan-t5-xl,,disambiguation_qa,16,multiple_choice_prompt,,,,1,3,100,,0.4900
gpt-3.5-turbo-0613,flan-t5-xl,,disambiguation_qa,16,process_of_elimination(mcp),,,,1,3,100,,0.5800
gpt-3.5-turbo-0613,flan-t5-xl,,cqa,16,multiple_choice_prompt,,,,2,3,100,,0.7800
gpt-3.5-turbo-0613,flan-t5-xl,,cqa,16,process_of_elimination(mcp),,,,2,3,100,,0.7500
gpt-3.5-turbo-0613,flan-t5-xl,,siqa,16,multiple_choice_prompt,,,,2,3,100,,0.7200
gpt-3.5-turbo-0613,flan-t5-xl,,siqa,16,process_of_elimination(mcp),,,,2,3,100,,0.6800
gpt-3.5-turbo-0613,flan-t5-xl,,logical_deduction_five_objects,16,multiple_choice_prompt,,,,2,3,100,,0.4300
gpt-3.5-turbo-0613,flan-t5-xl,,logical_deduction_five_objects,16,process_of_elimination(mcp),,,,2,3,100,,0.3400
gpt-3.5-turbo-0613,flan-t5-xl,,conceptual_combinations,16,multiple_choice_prompt,,,,2,3,100,,0.8000
gpt-3.5-turbo-0613,flan-t5-xl,,conceptual_combinations,16,process_of_elimination(mcp),,,,2,3,100,,0.7500
gpt-3.5-turbo-0613,flan-t5-xl,,strange_stories,16,multiple_choice_prompt,,,,2,3,100,,0.8200
gpt-3.5-turbo-0613,flan-t5-xl,,strange_stories,16,process_of_elimination(mcp),,,,2,3,100,,0.6900
gpt-3.5-turbo-0613,flan-t5-xl,,symbol_interpretation,16,multiple_choice_prompt,,,,2,3,100,,0.2100
gpt-3.5-turbo-0613,flan-t5-xl,,symbol_interpretation,16,process_of_elimination(mcp),,,,2,3,100,,0.2000
gpt-3.5-turbo-0613,flan-t5-xl,,anli,16,multiple_choice_prompt,,,,2,3,100,,0.3800
gpt-3.5-turbo-0613,flan-t5-xl,,anli,16,process_of_elimination(mcp),,,,2,3,100,,0.3700
gpt-3.5-turbo-0613,flan-t5-xl,,disambiguation_qa,16,multiple_choice_prompt,,,,2,3,100,,0.5200
gpt-3.5-turbo-0613,flan-t5-xl,,disambiguation_qa,16,process_of_elimination(mcp),,,,2,3,100,,0.4700
gpt-3.5-turbo-0613,flan-t5-xl,,cqa,16,multiple_choice_prompt,,,,3,3,100,,0.7500
gpt-3.5-turbo-0613,flan-t5-xl,,cqa,16,process_of_elimination(mcp),,,,3,3,100,,0.7600
gpt-3.5-turbo-0613,flan-t5-xl,,siqa,16,multiple_choice_prompt,,,,3,3,100,,0.8500
gpt-3.5-turbo-0613,flan-t5-xl,,siqa,16,process_of_elimination(mcp),,,,3,3,100,,0.7000
gpt-3.5-turbo-0613,flan-t5-xl,,logical_deduction_five_objects,16,multiple_choice_prompt,,,,3,3,100,,0.4400
gpt-3.5-turbo-0613,flan-t5-xl,,logical_deduction_five_objects,16,process_of_elimination(mcp),,,,3,3,100,,0.3200
gpt-3.5-turbo-0613,flan-t5-xl,,conceptual_combinations,16,multiple_choice_prompt,,,,3,3,100,,0.8400
gpt-3.5-turbo-0613,flan-t5-xl,,conceptual_combinations,16,process_of_elimination(mcp),,,,3,3,100,,0.7900
gpt-3.5-turbo-0613,flan-t5-xl,,strange_stories,16,multiple_choice_prompt,,,,3,3,100,,0.8700
gpt-3.5-turbo-0613,flan-t5-xl,,strange_stories,16,process_of_elimination(mcp),,,,3,3,100,,0.7700
gpt-3.5-turbo-0613,flan-t5-xl,,symbol_interpretation,16,multiple_choice_prompt,,,,3,3,100,,0.1900
gpt-3.5-turbo-0613,flan-t5-xl,,symbol_interpretation,16,process_of_elimination(mcp),,,,3,3,100,,0.1900
gpt-3.5-turbo-0613,flan-t5-xl,,anli,16,multiple_choice_prompt,,,,3,3,100,,0.3500
gpt-3.5-turbo-0613,flan-t5-xl,,anli,16,process_of_elimination(mcp),,,,3,3,100,,0.4200
gpt-3.5-turbo-0613,flan-t5-xl,,disambiguation_qa,16,multiple_choice_prompt,,,,3,3,100,,0.5600
gpt-3.5-turbo-0613,flan-t5-xl,,disambiguation_qa,16,process_of_elimination(mcp),,,,3,3,100,,0.4700
gpt-3.5-turbo-0613,flan-t5-xl,,cqa,16,multiple_choice_prompt,,,,4,3,100,,0.7500
gpt-3.5-turbo-0613,flan-t5-xl,,cqa,16,process_of_elimination(mcp),,,,4,3,100,,0.5800
gpt-3.5-turbo-0613,flan-t5-xl,,siqa,16,multiple_choice_prompt,,,,4,3,100,,0.6900
gpt-3.5-turbo-0613,flan-t5-xl,,siqa,16,process_of_elimination(mcp),,,,4,3,100,,0.6400
gpt-3.5-turbo-0613,flan-t5-xl,,logical_deduction_five_objects,16,multiple_choice_prompt,,,,4,3,100,,0.4200
gpt-3.5-turbo-0613,flan-t5-xl,,logical_deduction_five_objects,16,process_of_elimination(mcp),,,,4,3,100,,0.3400
gpt-3.5-turbo-0613,flan-t5-xl,,conceptual_combinations,16,multiple_choice_prompt,,,,4,3,100,,0.8200
gpt-3.5-turbo-0613,flan-t5-xl,,conceptual_combinations,16,process_of_elimination(mcp),,,,4,3,100,,0.8000
gpt-3.5-turbo-0613,flan-t5-xl,,strange_stories,16,multiple_choice_prompt,,,,4,3,100,,0.8400
gpt-3.5-turbo-0613,flan-t5-xl,,strange_stories,16,process_of_elimination(mcp),,,,4,3,100,,0.7500
gpt-3.5-turbo-0613,flan-t5-xl,,symbol_interpretation,16,multiple_choice_prompt,,,,4,3,100,,0.2200
gpt-3.5-turbo-0613,flan-t5-xl,,symbol_interpretation,16,process_of_elimination(mcp),,,,4,3,100,,0.2100
gpt-3.5-turbo-0613,flan-t5-xl,,anli,16,multiple_choice_prompt,,,,4,3,100,,0.3800
gpt-3.5-turbo-0613,flan-t5-xl,,anli,16,process_of_elimination(mcp),,,,4,3,100,,0.3900
gpt-3.5-turbo-0613,flan-t5-xl,,disambiguation_qa,16,multiple_choice_prompt,,,,4,3,100,,0.5800
gpt-3.5-turbo-0613,flan-t5-xl,,disambiguation_qa,16,process_of_elimination(mcp),,,,4,3,100,,0.3900
